;temperatureEreignis;gasEreignis;humidityEreignis;barometerEreignis
325;29,62;48554;38;999,26
326;29,63;48921;37;999,21
327;29,63;48836;37;999,21
328;29,63;48864;37;999,23
329;29,63;48610;37;999,26
330;29,63;48779;37;999,23
331;29,63;48808;37;999,21
332;29,63;48751;37;999,21
333;29,63;48978;37;999,2
334;29,64;48526;37;999,2
335;29,64;48836;37;999,17
336;29,63;48921;37;999,2
337;29,64;48893;37;999,21
338;29,65;48950;37;999,21
339;29,64;48666;37;999,21
340;29,65;48808;37;999,2
341;29,65;48864;37;999,2
342;29,66;48950;37;999,2
343;29,65;48779;37;999,2
344;29,66;48751;37;999,2
345;29,66;48893;37;999,2
346;29,66;48666;37;999,23
347;29,66;48638;37;999,2
348;29,66;48808;37;999,2
349;29,66;48921;37;999,21
350;29,67;49150;37;999,21
351;29,67;48610;37;999,21
352;29,67;48808;37;999,21
353;29,68;48921;37;999,21
354;29,67;48950;37;999,21
355;29,68;49007;37;999,21
356;29,68;49007;37;999,2
357;29,68;49265;37;999,2
358;29,68;49035;37;999,2
359;29,68;48950;37;999,23
360;29,68;49150;37;999,23
361;29,69;49121;37;999,23
362;29,69;49064;37;999,21
363;29,69;49093;37;999,21
364;29,69;49093;37;999,21
365;29,7;49208;37;999,21
366;29,7;49381;37;999,21
367;29,7;49381;37;999,2
368;29,7;49208;37;999,2
369;29,71;48893;37;999,2
370;29,71;49093;37;999,21
371;29,71;49468;37;999,2
372;29,7;48779;37;999,21
373;29,71;49121;37;999,2
374;29,71;49323;37;999,2
375;29,72;49556;37;999,2
376;29,72;49381;37;999,2
377;29,72;49614;37;999,2
378;29,72;49208;37;999,21
379;29,73;49439;37;999,2
380;29,73;49497;37;999,2
381;29,73;49208;37;999,17
382;29,73;49121;37;999,2
383;29,73;48893;37;999,2
384;29,74;49208;37;999,17
385;29,74;49410;37;999,17
386;29,74;49208;37;999,17
387;29,74;49352;37;999,16
388;29,74;49439;37;999,16
389;29,74;49556;37;999,16
390;29,75;49323;37;999,13
391;29,75;49820;37;999,16
392;29,75;49614;37;999,13
393;29,75;49732;37;999,16
394;29,76;49468;37;999,16
395;29,76;49323;37;999,13
396;29,76;50057;37;999,16
397;29,76;49556;37;999,13
398;29,76;49410;37;999,16
399;29,77;49673;37;999,16
400;29,77;49791;37;999,12
401;29,77;49761;37;999,13
402;29,77;49761;37;999,16
403;29,77;49673;37;999,16
404;29,78;49702;37;999,13
405;29,77;49673;37;999,13
406;29,78;49761;37;999,13
407;29,78;49879;37;999,13
408;29,79;49732;37;999,17
409;29,79;49791;37;999,17
410;29,79;49673;37;999,17
411;29,79;49850;37;999,17
412;29,79;50028;37;999,17
413;29,8;50057;37;999,17
414;29,8;49879;37;999,17
415;29,8;49879;37;999,17
416;29,8;50087;37;999,17
417;29,8;49939;37;999,17
418;29,8;50267;37;999,17
419;29,8;49998;37;999,17
420;29,81;49791;37;999,2
421;29,81;50087;37;999,2
422;29,81;50267;37;999,2
423;29,82;50028;37;999,17
424;29,82;50087;37;999,2
425;29,82;50388;37;999,17
426;29,82;50028;37;999,2
427;29,82;50267;37;999,17
428;29,82;50177;37;999,17
429;29,83;50207;37;999,16
430;29,83;50237;37;999,2
431;29,83;50028;37;999,17
432;29,83;50147;37;999,2
433;29,83;50087;37;999,17
434;29,84;50448;37;999,17
435;29,84;50448;37;999,17
436;29,84;50267;37;999,17
437;29,84;50418;37;999,17
438;29,85;50570;37;999,16
439;29,84;50845;37;999,17
440;29,85;50177;37;999,2
441;29,85;50297;37;999,2
442;29,85;50722;37;999,2
443;29,85;50478;37;999,17
444;29,85;50630;37;999,17
445;29,86;50388;37;999,17
446;29,86;50267;37;999,17
447;29,86;50448;37;999,16
448;29,87;50570;37;999,2
449;29,87;50876;37;999,2
450;29,87;50600;37;999,2
451;29,88;50753;37;999,2
452;29,87;50722;37;999,2
453;29,87;50783;37;999,17
454;29,88;50937;37;999,17
455;29,88;50448;37;999,17
456;29,88;50478;37;999,17
457;29,88;50297;37;999,17
458;29,89;50630;37;999,2
459;29,89;51092;37;999,2
460;29,89;50570;37;999,2
461;29,89;50937;37;999,2
462;29,89;51092;37;999,2
463;29,9;50968;37;999,2
464;29,9;51310;37;999,17
465;29,91;50783;37;999,21
466;29,9;50999;37;999,17
467;29,91;51061;37;999,2
468;29,91;51030;37;999,21
469;29,91;50692;37;999,2
470;29,91;51030;37;999,2
471;29,91;51436;37;999,17
472;29,91;50814;37;999,17
473;29,92;51279;37;999,17
474;29,92;50937;37;999,16
475;29,92;50937;37;999,2
476;29,93;50845;37;999,2
477;29,92;51405;37;999,17
478;29,93;50876;37;999,17
479;29,93;50876;37;999,17
480;29,93;51248;37;999,17
481;29,93;51373;37;999,16
482;29,94;51342;37;999,16
483;29,94;51217;37;999,13
484;29,94;51279;37;999,16
485;29,94;51061;37;999,16
486;29,95;51092;37;999,16
487;29,95;51594;37;999,13
