;temperatureEreignis;;gasEreignis;;humidityEreignis;;barometerEreignis
12220;28,62;12220;93489;12220;40;12220;1003,07
12221;28,63;12221;93178;12221;40;12221;1003,09
12222;28,63;12222;93593;12222;40;12222;1003,09
12223;28,62;12223;93593;12223;40;12223;1003,11
12224;28,63;12224;93489;12224;40;12224;1003,11
12225;28,62;12225;92972;12225;40;12225;1003,11
12226;28,62;12226;93593;12226;40;12226;1003,11
12227;28,62;12227;93282;12227;40;12227;1003,09
12228;28,63;12228;93593;12228;40;12228;1003,09
12229;28,62;12229;93178;12229;40;12229;1003,09
12230;28,63;12230;93178;12230;40;12230;1003,03
12231;28,62;12231;93385;12231;40;12231;1003,07
12232;28,62;12232;93698;12232;40;12232;1003,11
12233;28,63;12233;92972;12233;40;12233;1003,11
12234;28,63;12234;93593;12234;40;12234;1003,09
12235;28,62;12235;93698;12235;40;12235;1003,09
12236;28,62;12236;94329;12236;40;12236;1003,09
12237;28,62;12237;93593;12237;40;12237;1003,09
12238;28,63;12238;92665;12238;40;12238;1003,09
12239;28,63;12239;92870;12239;40;12239;1003,07
12240;28,62;12240;92972;12240;40;12240;1003,09
12241;28,62;12241;93593;12241;40;12241;1003,09
12242;28,62;12242;93385;12242;40;12242;1003,09
12243;28,62;12243;94012;12243;40;12243;1003,09
12244;28,62;12244;93698;12244;40;12244;1003,09
12245;28,62;12245;93385;12245;40;12245;1003,09
12246;28,63;12246;93075;12246;40;12246;1003,07
12247;28,63;12247;93593;12247;40;12247;1003,09
12248;28,62;12248;93075;12248;40;12248;1003,09
12249;28,62;12249;93075;12249;40;12249;1003,09
12250;28,62;12250;94012;12250;40;12250;1003,09
12251;28,62;12251;94223;12251;40;12251;1003,09
12252;28,61;12252;92972;12252;40;12252;1003,09
12253;28,62;12253;93282;12253;40;12253;1003,09
12254;28,62;12254;94118;12254;40;12254;1003,09
12255;28,62;12255;94012;12255;40;12255;1003,09
12256;28,62;12256;93075;12256;40;12256;1003,09
12257;28,62;12257;94012;12257;40;12257;1003,09
12258;28,62;12258;94118;12258;40;12258;1003,09
12259;28,62;12259;93489;12259;40;12259;1003,11
12260;28,62;12260;93593;12260;40;12260;1003,11
12261;28,62;12261;93489;12261;40;12261;1003,11
12262;28,62;12262;92972;12262;40;12262;1003,09
12263;28,62;12263;92767;12263;40;12263;1003,09
12264;28,61;12264;93802;12264;40;12264;1003,09
12265;28,62;12265;93385;12265;40;12265;1003,09
12266;28,62;12266;93907;12266;40;12266;1003,09
12267;28,62;12267;93907;12267;40;12267;1003,09
12268;28,62;12268;92767;12268;40;12268;1003,09
12269;28,62;12269;94118;12269;40;12269;1003,09
12270;28,62;12270;92972;12270;40;12270;1003,11
12271;28,62;12271;93907;12271;40;12271;1003,09
12272;28,62;12272;93698;12272;40;12272;1003,11
12273;28,62;12273;93698;12273;40;12273;1003,09
